,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,6,5,4,3,2,1,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2,6,5,4,3,2,1,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
3,18,17,16,15,14,13,6,5,4,3,2,1,7,8,9,10,11,12,19,20,21,22,23,24
4,18,17,16,15,14,13,12,11,10,9,8,7,1,2,3,4,5,6,19,20,21,22,23,24
5,18,17,16,15,14,13,12,11,10,9,8,7,1,2,3,4,5,6,19,20,21,22,23,24
6,24,23,22,21,20,19,6,5,4,3,2,1,7,8,9,10,11,12,13,14,15,16,17,18
7,6,5,4,3,2,1,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
8,24,23,22,21,20,19,12,11,10,9,8,7,1,2,3,4,5,6,13,14,15,16,17,18
9,24,23,22,21,20,19,6,5,4,3,2,1,7,8,9,10,11,12,13,14,15,16,17,18
10,24,23,22,21,20,19,12,11,10,9,8,7,1,2,3,4,5,6,13,14,15,16,17,18
11,24,23,22,21,20,19,12,11,10,9,8,7,1,2,3,4,5,6,13,14,15,16,17,18
12,18,17,16,15,14,13,12,11,10,9,8,7,1,2,3,4,5,6,19,20,21,22,23,24
13,18,17,16,15,14,13,6,5,4,3,2,1,7,8,9,10,11,12,19,20,21,22,23,24
14,6,5,4,3,2,1,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
